Make,Model,Year,Mileage,Price,VIN,url
Dodge,Challenger,2022,"3,030 miles","$30,998",2C3CDZAG5NH212014,https://www.edmunds.com/dodge/challenger/2022/vin/2C3CDZAG5NH212014/?radius=50
Dodge,Challenger,2022,"3,030 miles","$30,998",2C3CDZAG5NH212014,https://www.edmunds.com/dodge/challenger/2022/vin/2C3CDZAG5NH212014/?radius=50
Dodge,Challenger,2022,"3,030 miles","$30,998",2C3CDZAG5NH212014,https://www.edmunds.com/dodge/challenger/2022/vin/2C3CDZAG5NH212014/?radius=50
Dodge,Challenger,2022,"3,030 miles","$30,998",2C3CDZAG5NH212014,https://www.edmunds.com/dodge/challenger/2022/vin/2C3CDZAG5NH212014/?radius=50
Dodge,Challenger,2022," 2,512 miles ","$32,590 ",2C3CDZAG2NH140284,/used_cars/vehicle-detail/ul2152699317/dodge/challenger
Dodge,Challenger,2016,"140,403 miles","$13,950",2C3CDZAG7GH352696,https://www.edmunds.com/dodge/challenger/2016/vin/2C3CDZAG7GH352696/?radius=50
Dodge,Challenger,2016,"140,403 miles","$13,950",2C3CDZAG7GH352696,https://www.edmunds.com/dodge/challenger/2016/vin/2C3CDZAG7GH352696/?radius=50
Dodge,Challenger,2016,"140,403 miles","$13,950",2C3CDZAG7GH352696,https://www.edmunds.com/dodge/challenger/2016/vin/2C3CDZAG7GH352696/?radius=50
Dodge,Challenger,2016,"140,403 miles","$13,950",2C3CDZAG7GH352696,https://www.edmunds.com/dodge/challenger/2016/vin/2C3CDZAG7GH352696/?radius=50
Dodge,Challenger,2016,"140,403 miles","$13,950",2C3CDZAG7GH352696,https://www.edmunds.com/dodge/challenger/2016/vin/2C3CDZAG7GH352696/?radius=50
Dodge,Challenger,2016,"140,403 miles","$13,950",2C3CDZAG7GH352696,https://www.edmunds.com/dodge/challenger/2016/vin/2C3CDZAG7GH352696/?radius=50
